area,aspect_ratio,circularity,solidity,perimeter,label
884.5,1.2121212120844813,0.7984921215429367,0.9593275488069414,117.982754945755,1
1234.0,2.0312499999365237,0.5291003017330319,0.8764204545454546,171.1959582567215,1
1310.5,2.379310344745541,0.5029372357570883,0.868743785217103,180.95331740379333,1
1514.5,1.3695652173615314,0.6115569066103049,0.9009518143961928,176.40916049480438,1
1328.5,1.9705882352361594,0.5184891640492064,0.8740131578947369,179.4385987520218,1
1231.5,1.3809523809195012,0.5963177239971521,0.9028592375366569,161.09545254707336,1
1285.5,1.4634146341106486,0.5761967220744143,0.886551724137931,167.4385987520218,1
1335.0,1.2727272726983472,0.6235543210132392,0.8929765886287625,164.02438509464264,1
1184.0,1.130434782584121,0.5870802792407577,0.9104190695886197,159.1959581375122,1
1283.5,1.0624999999778646,0.5868570503265651,0.8755115961800819,165.78174448013306,1
1573.5,1.2978723403979178,0.6164636774208144,0.9111175448755067,179.09545278549194,1
1576.0,1.682926829227246,0.569329106719885,0.9197548876568428,186.50966620445251,1
1423.5,1.2653061224231572,0.5335955721583054,0.8836126629422719,183.09545302391052,1
1389.5,1.1199999999776,0.5883884045911144,0.8758272927828553,172.26702547073364,1
1438.5,1.1702127659325487,0.6019221586659942,0.8863216266173752,173.2964632511139,1
944.0,1.3124999999589846,0.8049449340870841,0.9687018984094408,121.39696896076202,1
971.0,1.264705882315744,0.7802524683676896,0.9594861660079052,125.05382251739502,1
891.5,1.1515151514802573,0.8210363243677744,0.9711328976034859,116.8111823797226,1
1113.0,1.3142857142481634,0.7999729079213241,0.9695121951219512,132.2253954410553,1
1071.5,1.2222222221882717,0.8202288239297647,0.9679313459801264,128.12489020824432,1
1530.5,1.2954545454251034,0.5996171954474339,0.8753217043179868,179.09545290470123,0
1505.0,1.2790697674121148,0.558464555466437,0.8686868686868687,184.02438485622406,0
1191.5,1.2820512820184091,0.5502775586130532,0.8408609738884968,164.95331752300262,0
1480.5,1.3571428571105444,0.5964675905108451,0.8870581186339125,176.61017155647278,0
1116.0,1.3157894736495845,0.5509849842267519,0.8470588235294118,159.5391036272049,0
1314.0,1.41025641022025,0.5744674968149893,0.8713527851458885,169.53910410404205,0
1837.5,1.3191489361421458,0.6066565870526477,0.8948137326515705,195.09545278549194,0
1985.0,1.340425531886374,0.5257283645567015,0.8461210571184996,217.82337510585785,0
1976.5,1.199999999976,0.5673189278089591,0.8768855368234251,209.23758780956268,0
2095.0,1.0943396226208615,0.5124783698893176,0.8624948538493207,226.6518017053604,0
2119.0,1.3124999999726563,0.6264761436944325,0.9003611642234969,206.16652059555054,0
1577.5,1.3409090908786159,0.5252681275958218,0.8529332251959989,194.2670258283615,0
1510.5,1.288888888860247,0.4845450955691433,0.8313153549807375,197.92387986183167,0
1558.0,1.3488372092709573,0.5855635417698579,0.8745439236598372,182.85281229019165,0
1516.5,1.3023255813650623,0.6133524787399113,0.8842565597667639,176.2670259475708,0
1728.5,1.3191489361421458,0.4984443530724169,0.8405057135910527,208.75230705738068,0
1731.5,1.3777777777471607,0.5620729621228118,0.8612285501119125,196.7523066997528,0
1550.0,1.372093023223905,0.5394148402318358,0.8568269762299613,190.02438509464264,0
1503.5,1.0566037735649698,0.3751734806864606,0.7572399899269705,224.40916097164154,0
1423.0,1.2666666666385187,0.47431413598125177,0.8290125254879115,194.16652047634125,0
1404.0,1.365853658503272,0.57481594586499,0.8632031970488779,175.19595801830292,0
