area,aspect_ratio,circularity,solidity,perimeter,label
1404.0,1.6415094339312923,0.30428873618448987,0.7155963302752294,240.79393708705902,1
1449.0,2.499999999926471,0.3643940175675275,0.8508514386376982,223.53910386562347,1
1747.5,1.2461538461346744,0.3566161645053301,0.7194318649650062,248.14927566051483,1
1521.0,3.3999999998866666,0.30092200755288706,0.7522255192878339,252.02438509464264,1
1873.0,1.6136363635996902,0.5624318988996327,0.8408529741863076,204.56854140758514,1
961.0,1.1944444444112656,0.660127256833581,0.890226956924502,135.25483322143555,1
910.0,2.599999999896,0.4500814791697126,0.8588957055214724,159.39696836471558,1
975.0,1.1315789473386428,0.6490231348556992,0.8863636363636364,137.39696860313416,1
834.5,2.0357142856415815,0.5117139302941495,0.9100327153762269,143.15432798862457,1
965.5,1.105263157865651,0.6265687124647161,0.8789258079198907,139.15432810783386,1
1277.5,1.5319148935844276,0.3664772270506128,0.6653645833333334,209.29646348953247,1
2037.5,1.740740740708505,0.3955869800652797,0.8207452165156093,254.40916121006012,1
1648.5,4.258064515991675,0.23546520232811874,0.768710655164374,296.61017167568207,1
2112.5,2.7142857142081636,0.4628121031132981,0.8436501597444089,239.49747383594513,1
1902.0,4.399999999853334,0.26998042393603405,0.7908523908523909,297.53910398483276,1
1211.5,3.1071428570318878,0.3757171277006005,0.8665951359084406,201.2964632511139,1
1704.5,1.3928571428322705,0.4148074299828272,0.7987347703842549,227.23758828639984,1
1480.0,4.1851851850301784,0.27965892152493804,0.7791524085285602,257.8822498321533,1
1701.5,1.8999999999525001,0.49757440506451517,0.8357072691552063,207.2964632511139,1
1373.5,2.75675675668225,0.29609094356342913,0.8180464562239428,241.4385987520218,1
820.5,2.2916666665711807,0.5615986475519775,0.9302721088435374,135.49747371673584,1
934.5,1.1666666666342593,0.6396269788389067,0.8828530940009447,135.49747371673584,1
910.5,2.1724137930285377,0.4604252313169175,0.8654942965779467,157.63960921764374,1
972.0,0.9999999999761906,0.653538630754145,0.8962655601659751,136.71067655086517,1
896.5,2.2222222221399175,0.5008152028679191,0.9050984351337709,149.9827550649643,1
939.0,1.7499999999453126,0.5148030343840031,0.8211630957586358,151.39696848392487,1
1259.0,1.2325581395062197,0.5459927669776289,0.837936772046589,170.22539567947388,1
1140.0,3.2399999998704,0.3964851908948035,0.8172043010752689,190.08326029777527,1
1225.0,1.3947368420685597,0.606960892303926,0.8518776077885952,159.25483322143555,1
1033.5,2.9199999998832,0.421675730560532,0.8666666666666667,175.49747383594513,1
3906.5,1.567164179081087,0.6044716364653689,0.9525725432821263,284.97770369052887,0
3944.5,1.343749999979004,0.7670486002255943,0.9660788635807005,254.20815074443817,0
3785.5,1.516666666641389,0.7200178343669208,0.9543678305811168,257.0365778207779,0
4530.0,1.4202898550518799,0.6028950076489294,0.923924128084846,307.2792181968689,0
4264.5,2.2884615384175295,0.6142096348901336,0.9550951847704368,295.379723072052,0
2183.5,2.0749999999481252,0.5938472582915902,0.9213080168776371,214.95331752300262,0
2452.0,1.4423076922799558,0.738170692924757,0.9685956942524195,204.3086553812027,0
2635.5,1.3461538461279587,0.7784187207245188,0.9671559633027523,206.26702570915222,0
3213.0,1.5471698112915628,0.8059529933722955,0.984375,223.82337415218353,0
2791.5,1.3333333333086421,0.7810659465051045,0.974175536555575,211.92387986183167,0
877.5,2.4399999999024,0.4902011606431667,0.9126365054602185,149.9827550649643,0
2227.0,1.5319148935844276,0.7423032848524721,0.9642779822472397,194.1665210723877,0
1471.0,1.3478260869272212,0.30847588799459574,0.73734335839599,244.79393684864044,0
2225.5,1.4565217390987715,0.7960116231377,0.9775971886668131,187.43859779834747,0
2043.0,1.4130434782301513,0.7224552960551587,0.9318129988597491,188.50966680049896,0
907.5,1.9999999999230769,0.6366205012984638,0.9213197969543148,133.8406196832657,0
998.0,1.928571428502551,0.6499243870644968,0.9257884972170687,138.9116871356964,0
882.0,1.3999999999600001,0.32851019077798893,0.7374581939799331,183.68123948574066,0
854.0,1.3999999999600001,0.3124196571608289,0.7143454621497282,185.3380936384201,0
1086.0,1.3611111110733025,0.6269391730517166,0.8949320148331273,147.53910386562347,0
1047.5,1.406249999956055,0.8293573431296051,0.9771455223880597,125.98275482654572,0
805.0,1.428571428520408,0.8223394389330669,0.9769417475728155,110.91168737411499,0
1057.5,1.3939393938971536,0.8156790551763113,0.9760036917397323,127.63960886001587,0
1061.0,1.3636363635950415,0.8214990434790981,0.975632183908046,127.39696824550629,0
805.5,1.428571428520408,0.8142267288733251,0.9740024183796856,111.49747359752655,0
801.0,1.428571428520408,0.81825328374817,0.9744525547445255,110.91168713569641,0
1870.5,1.4374999999700522,0.29979843875110185,0.7588235294117647,280.0071394443512,0
2392.5,1.5106382978401993,0.6977305226462124,0.9329303957886528,207.58073449134827,0
2196.5,1.4444444444123459,0.8172150023256899,0.9751387347391787,183.78174483776093,0
2184.5,1.4222222221906173,0.8307328395368502,0.9798161022650819,181.78174459934235,0
